CustomerID,Recency,Frequency,Monetary,Segment,Country,Revenue_Share
12346.0,325,2,0.0,Lost Customers,United Kingdom,0.0
12347.0,2,7,4310.0,Champions,Iceland,0.0005206244956682728
12348.0,75,4,1797.24,Potential Loyalists,Finland,0.000217096790857273
12349.0,18,1,1757.55,Potential Loyalists,Italy,0.00021230245530435565
12350.0,310,1,334.4,Lost Customers,Norway,4.039369636925067e-05
12352.0,36,11,1545.41,Loyal Customers,Norway,0.00018667710019737948
12353.0,204,1,89.0,Lost Customers,Bahrain,1.0750714643729995e-05
12354.0,232,1,1079.4,At Risk,Spain,0.00013038563355552985
12355.0,214,1,459.4,Lost Customers,Bahrain,5.549301468909618e-05
12356.0,22,3,2811.43,Loyal Customers,Portugal,0.00033960541203170583
12357.0,33,1,6207.67,Potential Loyalists,Switzerland,0.0007498526828364424
12358.0,1,2,1168.06,Loyal Customers,Austria,0.00014109527805342985
12359.0,7,6,6182.9800000000005,Champions,Cyprus,0.0007468702654819066
12360.0,52,3,2662.06,Loyal Customers,Austria,0.00032156233061222326
12361.0,287,1,189.9,Lost Customers,Belgium,2.293888439150928e-05
12362.0,3,13,5154.58,Champions,Belgium,0.0006226451538008736
12363.0,109,2,552.0,Potential Loyalists,Unspecified,6.667858970043772e-05
12364.0,7,4,1313.1,Loyal Customers,Belgium,0.00015861531908631298
12365.0,291,3,320.69,At Risk,Cyprus,3.8737603135930026e-05
12367.0,4,1,168.9,Potential Loyalists,Denmark,2.0402198913775237e-05
12370.0,51,4,3541.94,Loyal Customers,Cyprus,0.00042784703623834856
12371.0,44,2,1887.96,Potential Loyalists,Switzerland,0.00022805527212108406
12372.0,71,3,1298.04,Loyal Customers,Denmark,0.000156796153215138
12373.0,311,1,364.6,Lost Customers,Austria,4.404169167532535e-05
12374.0,25,1,742.9300000000001,Potential Loyalists,Austria,8.974189247490254e-05
12375.0,2,3,455.42,Loyal Customers,Finland,5.5012252393792296e-05
12377.0,315,2,1628.12,Potential Loyalists,Switzerland,0.0001966680171432548
12378.0,129,1,4008.62,Potential Loyalists,Switzerland,0.0004842194352263925
12379.0,81,3,850.29,Potential Loyalists,Belgium,0.00010271039499345142
12380.0,21,5,2720.56,Champions,Belgium,0.00032862881158591097
12381.0,4,6,1803.96,Champions,Norway,0.0002179085302101479
12383.0,184,6,1839.31,Potential Loyalists,Belgium,0.0002221786174310002
12384.0,28,3,566.16,Loyal Customers,Switzerland,6.838904047970982e-05
12386.0,337,2,401.9,At Risk,Australia,4.8547328261967245e-05
12388.0,15,6,2780.66,Champions,Australia,0.00033588856383409265
12390.0,79,1,549.84,At Risk,Belgium,6.64176734798708e-05
12391.0,21,1,439.66,Potential Loyalists,Cyprus,5.310853034002618e-05
12393.0,72,4,1582.6000000000001,Potential Loyalists,Australia,0.0001911694493838999
12394.0,63,2,1272.48,Potential Loyalists,Belgium,0.000153708644605096
12395.0,15,15,2998.28,Champions,Belgium,0.00036217587305621094
12397.0,35,2,2409.9,Loyal Customers,Belgium,0.0002911027777519654
12398.0,45,1,1635.6599999999999,Potential Loyalists,Switzerland,0.0001975788080243079
12399.0,119,4,1108.65,Loyal Customers,Belgium,0.0001339188740423737
12401.0,303,1,84.3,Lost Customers,Belgium,1.0182980274903804e-05
12402.0,323,1,225.6,Lost Customers,Belgium,2.7251249703657156e-05
12403.0,49,2,409.7,Potential Loyalists,Denmark,4.9489525725125603e-05
12405.0,148,1,1710.39,Potential Loyalists,Finland,0.00020660578448864435
12406.0,22,3,3280.75,Loyal Customers,Denmark,0.00039629670862266497
12407.0,49,5,1708.1200000000001,Loyal Customers,Belgium,0.00020633158086795595
12408.0,32,9,2842.57,Champions,Belgium,0.0003433669542115458
12409.0,78,7,11056.93,Loyal Customers,Switzerland,0.0013356168456819945
12410.0,301,3,681.0799999999999,Potential Loyalists,Switzerland,8.227074977024297e-05
12412.0,74,3,1226.88,Potential Loyalists,Denmark,0.00014820041328201638
12413.0,66,5,694.15,Loyal Customers,France,8.384953449376602e-05
12414.0,217,3,562.41,Potential Loyalists,Austria,6.793606093011445e-05
12415.0,24,26,123725.45,Champions,Australia,0.014945359630529025
12417.0,3,12,3578.8,Champions,Belgium,0.0004322995232245046
12418.0,112,1,668.58,At Risk,Switzerland,8.076081793825843e-05
12420.0,63,1,600.39,Potential Loyalists,Cyprus,7.252383780841631e-05
12421.0,15,5,806.27,Loyal Customers,Spain,9.739301905393464e-05
12422.0,95,3,803.5600000000001,Potential Loyalists,Australia,9.70656658327604e-05
12423.0,0,9,1849.11,Champions,Belgium,0.00022336240398727607
12424.0,162,2,1760.96,Potential Loyalists,Australia,0.00021271436470812104
12425.0,78,1,777.2,At Risk,Portugal,9.388152158547138e-05
12426.0,194,1,582.73,At Risk,Germany,7.039060611618854e-05
12427.0,11,5,708.37,Loyal Customers,Germany,8.556723294583165e-05
12428.0,25,12,7877.2,Champions,Finland,0.0009515228021526957
12429.0,9,4,3750.4,Champions,Denmark,0.00045302786741398845
12430.0,43,1,256.4,At Risk,Norway,3.0971721737667087e-05
12431.0,35,18,6348.89,Champions,Australia,0.0007669112887014712
12432.0,42,5,5059.32,Loyal Customers,Norway,0.0006111382652956858
12433.0,0,7,13375.87,Champions,Norway,0.0016157321514789745
12434.0,84,4,765.19,Potential Loyalists,Australia,9.243077908130062e-05
12435.0,79,2,7829.89,Potential Loyalists,Denmark,0.0009458080121550007
12436.0,99,1,509.01,At Risk,Norway,6.148563214387645e-05
12437.0,1,19,4896.66,Champions,France,0.0005914898243524373
12438.0,14,2,2906.85,Loyal Customers,Norway,0.0003511316276643431
12441.0,366,1,173.55,Lost Customers,France,2.096389355527349e-05
12442.0,3,1,172.06,Potential Loyalists,Spain,2.0783909680900934e-05
12444.0,21,5,5005.46,Champions,Norway,0.0006046322710180308
12445.0,22,1,133.4,At Risk,Spain,1.6113992510939117e-05
12446.0,57,1,1002.3100000000001,Potential Loyalists,RSA,0.00012107358196131473
12447.0,243,1,476.49,At Risk,Belgium,5.755739348978545e-05
12448.0,44,1,449.45,At Risk,Spain,5.429110895083647e-05
12449.0,22,4,4067.29,Champions,Belgium,0.0004913064512729952
12450.0,156,2,197.88,At Risk,Spain,2.390282487304822e-05
12451.0,10,6,8933.52,Champions,Switzerland,0.0010791204975736494
12452.0,16,3,428.57,Potential Loyalists,Switzerland,5.1768918818689484e-05
12453.0,134,1,707.09,At Risk,Austria,8.541261592623643e-05
12454.0,53,2,5.684341886080802e-14,At Risk,Spain,6.866375006141196e-21
12455.0,73,6,2466.86,Loyal Customers,Spain,0.00029798323512395257
12456.0,44,4,3153.89,Loyal Customers,Switzerland,0.00038097271244622017
12457.0,58,12,1917.78,Loyal Customers,Switzerland,0.0002316573654994664
12458.0,71,2,947.4,Potential Loyalists,Switzerland,0.000114440753409773
12461.0,94,2,826.88,Potential Loyalists,Switzerland,9.988259465851076e-05
12462.0,2,4,1124.01,Champions,Spain,0.0001357742782775163
12463.0,46,7,1303.63,Loyal Customers,Belgium,0.0001574713947304015
12464.0,10,8,1212.05,Champions,Belgium,0.00014640903015654988
12465.0,7,3,733.89,Loyal Customers,Belgium,8.86499097740113e-05
12468.0,143,3,724.0400000000001,Potential Loyalists,Germany,8.746008349040749e-05
12471.0,2,49,18705.52,Champions,Germany,0.002259524806545891
12472.0,30,13,6229.48,Champions,Germany,0.0007524872118968891
12473.0,29,9,2837.73,Champions,Germany,0.00034278230860620133
12474.0,17,30,7064.7699999999995,Champions,Germany,0.000853385688691959
12475.0,53,1,723.38,Potential Loyalists,Germany,8.73803590896787e-05
12476.0,1,20,6546.58,Champions,Germany,0.0007907911626106732
12477.0,22,9,13117.01,Champions,Germany,0.001584463275156773
12478.0,3,1,680.99,Potential Loyalists,Greece,8.22598782610527e-05
12479.0,3,3,477.3,Loyal Customers,Germany,5.7655237072498056e-05
12480.0,28,4,3281.63,Champions,Germany,0.0003964030078236367
12481.0,22,11,5574.36,Champions,Germany,0.0006733522885553116
12483.0,17,13,2327.13,Champions,Sweden,0.0002811046131332965
12484.0,32,8,4480.87,Champions,Spain,0.0005412646598387688
12488.0,9,3,1298.66,Loyal Customers,France,0.00015687104583400445
12489.0,336,1,334.93,Lost Customers,France,4.0457717478926825e-05
12490.0,5,10,5417.93,Champions,France,0.0006544563976371242
12491.0,38,1,460.40000000000003,At Risk,France,5.5613809235654944e-05
12492.0,63,2,263.21000000000004,Potential Loyalists,Germany,3.1794332599732275e-05
12493.0,165,3,416.79,Potential Loyalists,France,5.0345959060227244e-05
12494.0,9,13,1139.3500000000001,Champions,France,0.00013762726662172776
12497.0,81,1,1043.1,Potential Loyalists,Germany,0.00012600079151544672
12498.0,21,3,403.70000000000005,Potential Loyalists,Germany,4.8764758445773026e-05
12500.0,23,13,4206.27,Champions,Germany,0.0005080944773537322
12501.0,315,2,2089.68,Potential Loyalists,Germany,0.0002524219480529179
12502.0,95,5,3723.87,Loyal Customers,Spain,0.00044982318809378444
12503.0,337,1,-1126.0,Lost Customers,Spain,-0.00013601465942516825
12504.0,18,4,114.0,Potential Loyalists,Germany,1.3770578307699095e-05
12505.0,301,1,-4.5,Lost Customers,Italy,-5.435754595144379e-07
12506.0,232,1,73.5,Lost Customers,France,8.878399172069153e-06
12507.0,134,4,1258.06,Loyal Customers,Spain,0.0001519667872437186
12508.0,26,2,397.88,Potential Loyalists,France,4.8061734184801014e-05
12509.0,284,1,176.5,Lost Customers,France,2.1320237467621843e-05
12510.0,142,2,982.5699999999999,Potential Loyalists,Spain,0.00011868909761224473
12512.0,66,2,132.18,At Risk,Israel,1.5966623164137425e-05
12513.0,84,2,586.79,Potential Loyalists,France,7.088103197521711e-05
